Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_auto_03;0.0295;0.6865;0.0566;0.7482;0.1889;0.6852;0.2960;0.4593;0.0139;0.6582;0.0273;0.6610;0.0248;0.6672;0.0478;0.4880;0.0643;0.6743;0.1069;0.5891
OCSVM_kernel-rbf_auto_04;0.0380;0.5784;0.0714;0.8348;0.2004;0.5878;0.2986;0.5438;0.0136;0.5314;0.0266;0.7196;0.0253;0.5649;0.0485;0.5732;0.0694;0.5656;0.1113;0.6678
OCSVM_kernel-rbf_auto_05;0.0409;0.4865;0.0755;0.8690;0.2176;0.4830;0.2993;0.6289;0.0147;0.4838;0.0286;0.7655;0.0258;0.4626;0.0489;0.6537;0.0748;0.4790;0.1131;0.7293
OCSVM_kernel-rbf_auto_06;0.0512;0.3892;0.0904;0.9140;0.2437;0.3891;0.2982;0.7019;0.0147;0.3649;0.0283;0.8211;0.0276;0.3803;0.0515;0.7321;0.0843;0.3809;0.1171;0.7923
OCSVM_kernel-rbf_auto_07;0.0709;0.2811;0.1132;0.9520;0.2912;0.2852;0.2857;0.7705;0.0156;0.2775;0.0295;0.8699;0.0279;0.2733;0.0507;0.8034;0.1014;0.2793;0.1198;0.8490
OCSVM_kernel-rbf_auto_08;0.0882;0.1892;0.1202;0.9697;0.3722;0.1942;0.2496;0.8148;0.0158;0.1785;0.0291;0.9152;0.0272;0.1829;0.0473;0.8588;0.1259;0.1862;0.1116;0.8897
OCSVM_kernel-rbf_auto_09;0.0864;0.0946;0.0903;0.9791;0.6768;0.1007;0.1702;0.8425;0.0178;0.0834;0.0293;0.9608;0.0264;0.0857;0.0404;0.9227;0.2018;0.0911;0.0825;0.9263
OCSVM_kernel-sigmoid_scale_01;0.0229;0.8649;0.0446;0.5915;0.1820;0.8806;0.3016;0.3202;0.0157;0.7818;0.0308;0.6449;0.0238;0.8568;0.0463;0.3198;0.0611;0.8460;0.1058;0.4691
OCSVM_kernel-sigmoid_scale_02;0.0284;0.7676;0.0548;0.7082;0.1976;0.7774;0.3149;0.4378;0.0167;0.7382;0.0327;0.6836;0.0273;0.7464;0.0527;0.4828;0.0675;0.7574;0.1138;0.5781
OCSVM_kernel-sigmoid_scale_03;0.0356;0.6784;0.0676;0.7945;0.2250;0.6763;0.3373;0.5604;0.0153;0.6429;0.0299;0.6988;0.0294;0.6640;0.0564;0.5729;0.0763;0.6654;0.1228;0.6566
OCSVM_kernel-sigmoid_scale_04;0.0432;0.5811;0.0804;0.8538;0.2526;0.5825;0.3517;0.6463;0.0144;0.5360;0.0280;0.7313;0.0294;0.5553;0.0559;0.6393;0.0849;0.5637;0.1290;0.7177
OCSVM_kernel-sigmoid_scale_05;0.0526;0.4865;0.0949;0.8984;0.2861;0.4854;0.3583;0.7158;0.0140;0.4486;0.0271;0.7685;0.0298;0.4680;0.0560;0.6978;0.0956;0.4721;0.1341;0.7701
OCSVM_kernel-sigmoid_scale_06;0.0689;0.3784;0.1165;0.9369;0.3493;0.3883;0.3646;0.7810;0.0133;0.3412;0.0257;0.8129;0.0277;0.3559;0.0513;0.7482;0.1148;0.3660;0.1395;0.8197
OCSVM_kernel-sigmoid_scale_07;0.1034;0.3000;0.1531;0.9641;0.4132;0.2925;0.3367;0.8169;0.0125;0.2700;0.0239;0.8424;0.0272;0.2652;0.0493;0.8041;0.1391;0.2819;0.1407;0.8569
OCSVM_kernel-sigmoid_scale_08;0.1551;0.2000;0.1743;0.9795;0.5757;0.1942;0.2836;0.8434;0.0116;0.1629;0.0216;0.8947;0.0312;0.1845;0.0534;0.8758;0.1934;0.1854;0.1332;0.8983
OCSVM_kernel-sigmoid_scale_09;0.1468;0.0946;0.1150;0.9841;0.8135;0.0987;0.1726;0.8460;0.0133;0.0872;0.0230;0.9501;0.0314;0.0825;0.0454;0.9343;0.2512;0.0908;0.0890;0.9286
OCSVM_kernel-sigmoid_auto_01;0.0252;0.8216;0.0489;0.6461;0.1823;0.8725;0.3015;0.3263;0.0165;0.6349;0.0322;0.7214;0.0245;0.8419;0.0476;0.3500;0.0621;0.7927;0.1075;0.5109
OCSVM_kernel-sigmoid_auto_02;0.0299;0.7459;0.0575;0.7297;0.1983;0.7746;0.3157;0.4420;0.0168;0.6706;0.0327;0.7124;0.0274;0.7365;0.0529;0.4921;0.0681;0.7319;0.1147;0.5941
OCSVM_kernel-sigmoid_auto_03;0.0357;0.6568;0.0677;0.8011;0.2260;0.6747;0.3381;0.5632;0.0153;0.6074;0.0299;0.7145;0.0291;0.6525;0.0558;0.5755;0.0765;0.6478;0.1229;0.6636
OCSVM_kernel-sigmoid_auto_04;0.0432;0.5784;0.0804;0.8543;0.2528;0.5817;0.3517;0.6468;0.0145;0.5238;0.0283;0.7386;0.0292;0.5487;0.0555;0.6413;0.0849;0.5582;0.1290;0.7202
OCSVM_kernel-sigmoid_auto_05;0.0526;0.4838;0.0948;0.8989;0.2874;0.4854;0.3593;0.7171;0.0141;0.4446;0.0273;0.7725;0.0297;0.4631;0.0558;0.6995;0.0959;0.4692;0.1343;0.7720
OCSVM_kernel-sigmoid_auto_06;0.0685;0.3784;0.1158;0.9366;0.3448;0.3867;0.3615;0.7792;0.0133;0.3332;0.0255;0.8163;0.0276;0.3526;0.0511;0.7496;0.1135;0.3627;0.1385;0.8204
OCSVM_kernel-sigmoid_auto_07;0.0998;0.3000;0.1490;0.9630;0.4164;0.2933;0.3387;0.8170;0.0128;0.2700;0.0245;0.8470;0.0272;0.2652;0.0493;0.8040;0.1390;0.2821;0.1404;0.8578
OCSVM_kernel-sigmoid_auto_08;0.1527;0.2000;0.1728;0.9792;0.5807;0.1934;0.2834;0.8439;0.0119;0.1668;0.0223;0.8951;0.0305;0.1829;0.0522;0.8739;0.1939;0.1858;0.1327;0.8980
OCSVM_kernel-sigmoid_auto_09;0.1452;0.0919;0.1125;0.9842;0.8235;0.0983;0.1724;0.8462;0.0123;0.0792;0.0213;0.9509;0.0308;0.0825;0.0448;0.9336;0.2530;0.0880;0.0877;0.9287
