Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_auto_07;0.0500;0.2622;0.0839;0.9374;0.1044;0.2844;0.1526;0.4759;0.0186;0.2231;0.0344;0.9111;0.0447;0.2521;0.0759;0.8838;0.0544;0.2554;0.0867;0.8021
OCSVM_kernel-linear_auto_08;0.0577;0.1757;0.0869;0.9598;0.0909;0.1889;0.1227;0.5531;0.0158;0.1358;0.0283;0.9340;0.0459;0.1745;0.0726;0.9154;0.0526;0.1687;0.0776;0.8406
OCSVM_kernel-linear_auto_09;0.0575;0.0946;0.0713;0.9735;0.0779;0.0959;0.0858;0.6648;0.0148;0.0800;0.0249;0.9572;0.0541;0.0939;0.0684;0.9529;0.0511;0.0911;0.0626;0.8871
OCSVM_kernel-poly_2_scale_01;0.0446;0.3270;0.0784;0.9153;0.1032;0.2259;0.1378;0.5576;0.0166;0.1400;0.0296;0.9351;0.0360;0.4103;0.0661;0.7775;0.0501;0.2758;0.0780;0.7964
OCSVM_kernel-poly_2_scale_02;0.0531;0.2865;0.0896;0.9362;0.1089;0.3550;0.1659;0.4123;0.0163;0.1320;0.0289;0.9372;0.0368;0.3823;0.0671;0.7962;0.0538;0.2889;0.0879;0.7705
OCSVM_kernel-poly_2_scale_03;0.0534;0.2486;0.0880;0.9435;0.1190;0.4367;0.1870;0.3675;0.0148;0.1120;0.0261;0.9401;0.0362;0.3363;0.0653;0.8158;0.0558;0.2834;0.0916;0.7667
OCSVM_kernel-poly_2_scale_04;0.0561;0.2270;0.0899;0.9495;0.1155;0.4111;0.1803;0.3768;0.0141;0.0920;0.0244;0.9471;0.0385;0.2934;0.0680;0.8465;0.0560;0.2559;0.0906;0.7800
OCSVM_kernel-poly_2_scale_05;0.0555;0.1946;0.0864;0.9548;0.1113;0.3656;0.1707;0.4085;0.0132;0.0720;0.0224;0.9551;0.0404;0.2407;0.0691;0.8767;0.0551;0.2182;0.0871;0.7988
OCSVM_kernel-poly_2_scale_06;0.0554;0.1649;0.0829;0.9602;0.1034;0.2994;0.1537;0.4517;0.0131;0.0600;0.0215;0.9615;0.0394;0.1779;0.0645;0.9020;0.0528;0.1755;0.0806;0.8188
OCSVM_kernel-poly_2_scale_07;0.0505;0.1243;0.0718;0.9652;0.0924;0.2222;0.1305;0.5077;0.0135;0.0520;0.0214;0.9666;0.0382;0.1252;0.0585;0.9249;0.0487;0.1309;0.0706;0.8411
OCSVM_kernel-poly_2_scale_08;0.0502;0.0919;0.0648;0.9712;0.0807;0.1507;0.1051;0.5738;0.0069;0.0200;0.0102;0.9737;0.0436;0.0873;0.0580;0.9469;0.0453;0.0875;0.0595;0.8664
OCSVM_kernel-poly_2_scale_09;0.0488;0.0378;0.0425;0.9820;0.0675;0.0739;0.0705;0.6776;0.0048;0.0080;0.0060;0.9823;0.0391;0.0362;0.0375;0.9646;0.0400;0.0390;0.0391;0.9016
OCSVM_kernel-poly_2_auto_01;0.0156;0.9000;0.0305;0.3418;0.1184;0.4925;0.1908;0.3732;0.0000;0.0000;0.0000;0.9927;0.0280;0.7100;0.0538;0.5180;0.0405;0.5256;0.0688;0.5564
OCSVM_kernel-poly_2_auto_02;0.0376;0.4054;0.0670;0.8846;0.0971;0.2764;0.1396;0.5073;0.0102;0.0200;0.0136;0.9813;0.0280;0.8257;0.0539;0.4272;0.0432;0.3819;0.0685;0.7001
OCSVM_kernel-poly_2_auto_03;0.0182;0.0054;0.0083;0.9863;0.1023;0.3474;0.1561;0.4009;0.0163;0.3118;0.0303;0.8679;0.0288;0.6595;0.0550;0.5589;0.0414;0.3311;0.0624;0.7035
OCSVM_kernel-poly_2_auto_04;0.0297;0.6405;0.0560;0.7174;0.1052;0.4429;0.1659;0.3577;0.0141;0.2003;0.0246;0.9250;0.0336;0.1037;0.0471;0.9315;0.0456;0.3469;0.0734;0.7329
OCSVM_kernel-poly_2_auto_05;0.0480;0.2811;0.0819;0.9318;0.0412;0.0984;0.0357;0.7098;0.0103;0.0640;0.0166;0.9613;0.0000;0.0000;0.0000;0.9796;0.0249;0.1109;0.0336;0.8956
OCSVM_kernel-poly_2_auto_06;0.0329;0.6622;0.0594;0.6483;0.0594;0.1527;0.0831;0.5826;0.0118;0.3762;0.0220;0.7997;0.0348;0.2953;0.0559;0.8235;0.0347;0.3716;0.0551;0.7135
OCSVM_kernel-poly_2_auto_07;0.0339;0.4784;0.0626;0.8267;0.0893;0.2979;0.1342;0.4219;0.0147;0.3371;0.0267;0.8001;0.0285;0.6567;0.0532;0.5417;0.0416;0.4425;0.0692;0.6476
