Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_3_auto_04;0.0719;0.5189;0.1262;0.9214;0.2074;0.5688;0.3037;0.5704;0.0219;0.4048;0.0416;0.8655;0.0337;0.5065;0.0631;0.7133;0.0837;0.4997;0.1336;0.7676
OCSVM_kernel-poly_3_auto_05;0.0941;0.4432;0.1550;0.9474;0.2269;0.4770;0.3069;0.6466;0.0237;0.3651;0.0445;0.8868;0.0388;0.4407;0.0712;0.7824;0.0959;0.4315;0.1444;0.8158
OCSVM_kernel-poly_3_auto_06;0.1062;0.3351;0.1612;0.9619;0.2702;0.3835;0.3156;0.7294;0.0222;0.2775;0.0411;0.9064;0.0397;0.3236;0.0707;0.8384;0.1096;0.3299;0.1471;0.8590
OCSVM_kernel-poly_3_auto_07;0.1359;0.2676;0.1799;0.9736;0.3122;0.2897;0.2979;0.7802;0.0228;0.2215;0.0413;0.9261;0.0426;0.2527;0.0729;0.8789;0.1284;0.2579;0.1480;0.8897
OCSVM_kernel-poly_3_auto_08;0.1873;0.1892;0.1866;0.9827;0.3853;0.1962;0.2561;0.8177;0.0202;0.1308;0.0351;0.9486;0.0455;0.1702;0.0717;0.9187;0.1596;0.1716;0.1374;0.9169
OCSVM_kernel-poly_3_auto_09;0.2390;0.0919;0.1325;0.9870;0.4302;0.0979;0.1562;0.8312;0.0179;0.0671;0.0282;0.9673;0.0417;0.0712;0.0525;0.9520;0.1822;0.0820;0.0924;0.9344
OCSVM_kernel-rbf_scale_01;0.0236;0.7946;0.0458;0.6358;0.1965;0.8680;0.3205;0.3867;0.0165;0.6675;0.0322;0.7101;0.0231;0.8237;0.0449;0.3237;0.0649;0.7885;0.1108;0.5141
OCSVM_kernel-rbf_scale_02;0.0299;0.7270;0.0574;0.7377;0.2187;0.7766;0.3411;0.5018;0.0176;0.6320;0.0343;0.7420;0.0249;0.7381;0.0481;0.4366;0.0728;0.7184;0.1202;0.6045
OCSVM_kernel-rbf_scale_03;0.0384;0.6324;0.0723;0.8213;0.2563;0.6763;0.3712;0.6218;0.0196;0.5682;0.0378;0.7899;0.0253;0.6311;0.0487;0.5253;0.0849;0.6270;0.1325;0.6896
OCSVM_kernel-rbf_scale_04;0.0529;0.5568;0.0967;0.8852;0.3042;0.5862;0.3992;0.7105;0.0207;0.4811;0.0397;0.8319;0.0260;0.5454;0.0496;0.5972;0.1010;0.5423;0.1463;0.7562
